submission,workload,workload_variant,study,trial,metric_name,target_value,higher_is_better,global_step,accumulated_submission_time,metric_value
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,38845,27942.013617753983,0.1253898517839038
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,41141,29687.250631809235,0.1249360305122386
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,43661,31432.551094055176,0.1183990730459132
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,46068,33177.6586253643,0.1154830299811712
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,48368,34925.32077050209,0.1093226476126104
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,50900,36670.64257073402,0.1063486699174431
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,53280,38415.50717973709,0.1017332110268913
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,55564,40160.61021614075,0.0992999565490271
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,58078,41905.88268184662,0.0939603147781586
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,60486,43651.09105157852,0.0915463718437696
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,62778,45398.40979027748,0.0877323420074349
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,65309,47143.756016254425,0.0869888475836431
ademamix,librispeech_conformer,librispeech_conformer_pytorch,0,1,wer,0.085884,False,67706,48888.971920251846,0.0842659199536522
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,1,60.05421495437622,2.824593250615556
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,1095,1505.8693597316742,0.5557475981267803
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,2726,2951.572707414627,0.2923960797566745
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,4466,4396.847743988037,0.2578573842514363
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,6199,5842.694265604019,0.2390865639936271
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,8103,7288.539217472076,0.2210013035291845
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,10024,8733.881390810013,0.2090378023463525
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,11921,10179.140137195587,0.2000675904021629
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,13742,11624.596388339996,0.1911070342297108
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,15492,13070.364782810211,0.1859315405783807
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,17387,14516.085161685944,0.1795973543185439
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,19307,15962.84731054306,0.1705981750591416
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,21201,17408.159024238586,0.1623618017670062
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,23021,18853.65760374069,0.1570318157678752
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,24771,20299.25555586815,0.150292087095061
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,26660,21745.683071374893,0.1450007241828803
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,28582,23190.744616031647,0.1380292569883648
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,30489,24636.13781666756,0.1320137111958673
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,32323,26081.78207564354,0.127755515859605
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,34081,27527.43976283073,0.1240766668275962
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,35953,28975.83899521828,0.1222227586539854
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,37874,30421.53030347824,0.1217592816105827
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,39786,31867.459231615067,0.1220006759040216
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,41633,33312.74022984505,0.1215758219475691
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,43398,34758.55669736862,0.1230531550234152
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,45245,36205.25196814537,0.1249456862839762
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,47168,37650.78588819504,0.1339158982281658
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,49086,39095.90500164032,0.1403852652923284
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,50951,40541.52052783966,0.1466904842369526
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,52716,41987.052040576935,0.154250953507459
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,54534,43434.5231385231,0.1635108386037754
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,56454,44880.7162899971,0.1688794476898566
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,58368,46327.80756211281,0.1768261478298653
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,60237,47773.252727270126,0.1758026360256843
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,62006,49218.70870423317,0.1807174238401004
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,63817,50667.06376814842,0.1764592285038381
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,65744,52112.47272825241,0.1800994544488968
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,67661,53557.70811462402,0.1809684739052768
ademamix,librispeech_deepspeech,librispeech_deepspeech_pytorch,0,1,wer,0.119936,False,69544,55003.20389080048,0.1860087867522811
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,1,27.189526081085205,0.0242800297084239
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,1947,478.3232114315033,0.1019191154000473
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,3894,929.556051492691,0.1648096332909125
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,5836,1380.7031960487366,0.2132816968781548
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,7832,1831.8522815704343,0.2316552160236449
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,9885,2282.886972427368,0.2407711165684785
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,11944,2733.9744634628296,0.2526376665168482
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,13993,3185.061626434326,0.2476556341878056
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,16033,3636.1065497398376,0.2596607167254789
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,18084,4087.163938760757,0.2584050273529334
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,20133,4538.377120018005,0.2709904435051594
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,22188,4989.435345888138,0.2766448072141416
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,24245,5440.641564130783,0.2769550624213751
ademamix,ogbg,ogbg_pytorch,0,1,mean_average_precision,0.28098,True,26304,5891.7984273433685,0.283304967314845
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,1,51.25460982322693,0.0
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,4164,693.4892127513885,23.15849105916398
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,8350,1335.8123970031738,25.66725228083704
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,12536,1978.1565845012665,26.872057202414112
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,16720,2620.536241292953,26.97084016588177
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,20907,3262.868558168412,27.15189771886763
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,25095,3905.312859773636,27.55084388065146
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,29284,4547.670948028564,27.48023836915493
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,33471,5190.129186630249,27.84262966349788
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,37659,5832.527816057205,28.02757676074633
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,41845,6474.833534240723,28.230680748486183
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,46033,7117.150798797607,28.283187193608025
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,50215,7759.459378242493,28.13457021261248
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,54400,8401.773917198181,28.31224250850597
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,58584,9044.131472110748,28.582857059949
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,62766,9686.536586284636,28.983199740142204
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,66950,10328.929268598557,29.03537737033858
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,71132,10971.322234869003,27.6764183660944
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,75315,11613.676119565964,29.11116325804037
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,79499,12255.966635465622,29.397492182767387
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,83680,12898.266328334808,29.893293943242178
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,87863,13540.525059461594,30.088063200026543
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,92046,14182.919100284576,30.20501979977426
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,96228,14825.24995803833,30.34559483722533
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,100411,15467.636637449265,30.419246801244363
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,104595,16109.943704366684,30.6050774214407
