workload,label,model_family,submission,median_seconds,self_tuning_budget_seconds,budget_fraction,target_reached,best_non_muon_submission,best_non_muon_seconds,speedup_vs_best_non_muon
wmt,WMT,Transformer,NAdamW (Baseline AlgoPerf v0.5) (JAX),14865.7885992527,24171.0,0.6150257994808945,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.694578493829281
wmt,WMT,Transformer,NAdamW (Tuned for ResNet) (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
wmt,WMT,Transformer,Schedule-Free AdamW (PyTorch),19957.71787595749,24171.0,0.8256885472656278,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.5173666207243179
wmt,WMT,Transformer,Schedule-Free AdamW (JAX),16161.202248096466,24171.0,0.6686195129740791,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,0.6389040181753567
wmt,WMT,Transformer,Schedule-Free AdamW v2 (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
wmt,WMT,Transformer,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,24171.0,0.4271836934695892,True,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,1.0
wmt,WMT,Transformer,Single Worker DiLoCo (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
wmt,WMT,Transformer,Single Worker DiLoCo v2 (JAX),inf,24171.0,inf,False,Schedule-Free AdamW v2 (PyTorch),10325.45705485344,
imagenet_vit,ImageNet ViT,Vision Transformer,AdEMAMix (PyTorch),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Cautious NAdamW (JAX),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Lion (PyTorch),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Muon (JAX),77162.91657114029,96438.0,0.8001297887880326,True,NAdamW (JAX),72015.5787293911,0.9332925961008277
imagenet_vit,ImageNet ViT,Vision Transformer,Muon (PyTorch),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,NAdamW (JAX),72015.5787293911,96438.0,0.7467552077955899,True,NAdamW (JAX),72015.5787293911,1.0
imagenet_vit,ImageNet ViT,Vision Transformer,NAdamW (Baseline AlgoPerf v0.5) (JAX),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,NAdamW (Tuned for ResNet) (JAX),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Schedule-Free AdamW (PyTorch),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Schedule-Free AdamW (JAX),87468.86081624031,96438.0,0.9069957985051568,True,NAdamW (JAX),72015.5787293911,0.8233281885388405
imagenet_vit,ImageNet ViT,Vision Transformer,Schedule-Free AdamW v2 (JAX),84891.75501847267,96438.0,0.8802728698072614,True,NAdamW (JAX),72015.5787293911,0.8483224161606779
imagenet_vit,ImageNet ViT,Vision Transformer,Schedule-Free AdamW v2 (PyTorch),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Single Worker DiLoCo (JAX),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
imagenet_vit,ImageNet ViT,Vision Transformer,Single Worker DiLoCo v2 (JAX),inf,96438.0,inf,False,NAdamW (JAX),72015.5787293911,
fastmri,fastMRI,U-Net,AdEMAMix (PyTorch),1517.7321906089785,4117.5,0.3686052679074629,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.7437661815873651
fastmri,fastMRI,U-Net,Cautious NAdamW (JAX),1608.188658952713,4117.5,0.3905740519618004,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.7019312502903673
fastmri,fastMRI,U-Net,Lion (PyTorch),1394.1750195026398,4117.5,0.3385974546454499,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.8096816111969718
fastmri,fastMRI,U-Net,Muon (JAX),1869.765276670456,4117.5,0.45410207083678344,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.6037323990162127
fastmri,fastMRI,U-Net,Muon (PyTorch),inf,4117.5,inf,False,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,
fastmri,fastMRI,U-Net,NAdamW (JAX),1800.7732002735138,4117.5,0.4373462538612055,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.6268628808502987
fastmri,fastMRI,U-Net,NAdamW (Baseline AlgoPerf v0.5) (JAX),1620.5153810977936,4117.5,0.3935677914020142,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.6965918924612445
fastmri,fastMRI,U-Net,NAdamW (Tuned for ResNet) (JAX),1920.545307636261,4117.5,0.46643480452611075,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.5877694588058433
fastmri,fastMRI,U-Net,Schedule-Free AdamW (PyTorch),1188.9131379127502,4117.5,0.2887463601488161,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.949470436556239
fastmri,fastMRI,U-Net,Schedule-Free AdamW (JAX),2397.40203499794,4117.5,0.5822470030353224,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.4708588128325489
fastmri,fastMRI,U-Net,Schedule-Free AdamW v2 (JAX),1850.625381946564,4117.5,0.44945364467433246,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.6099764366649445
